cluster,minLat,maxLat,minLng,maxLng
1002,64.5213,64.5213,128.374,128.374
1003,27.8524,27.9323,116.149,116.52
1004,24.9156,24.9156,69.8959,69.8959
1005,29.7956,29.9758,-102.791,-102.409
1006,37.6634,37.6634,-97.1147,-97.1147
1007,28.1269,28.1269,103.202,103.202
1008,40.1935,40.1935,66.3342,66.3342
1009,39.3177,39.3177,-118.292,-118.292
1010,47.5891,47.5891,21.9585,21.9585
1011,45.2537,45.2621,20.1296,20.7493
1012,36.4956,36.4956,105.127,105.127
1013,36.7876,36.7876,52.7616,52.7616
1014,43.794,43.794,-94.4195,-94.4195
1015,13.2799,13.4329,105.882,106.09
1016,30.4623,30.4623,98.9663,98.9663
1017,37.4688,37.6146,47.6599,48.0673
1018,43.9886,43.9886,-101.639,-101.639
1019,19.8554,19.8554,19.552,19.552
1020,8.12201,8.12201,-63.8563,-63.8563
1021,50.3392,50.3392,-92.7549,-92.7549
1022,19.2674,19.2674,-102.778,-102.778
1023,27.0353,27.0353,117.386,117.386
1024,9.64183,9.64183,39.2098,39.2098
1025,11.1616,11.1616,1.79199,1.79199
1026,15.89,15.89,121.73,121.73
1027,14.4546,14.4546,7.555,7.555
1028,38.6028,38.6028,-76.7187,-76.7187
1029,34.5922,35.0456,135.516,135.664
1030,24.975,24.975,116.022,116.022
1031,14.7996,14.8551,-86.3569,-86.0563
1032,12.2596,12.5634,5.68204,6.16667
1033,18.4562,18.4562,-93.2456,-93.2456
1034,6.60512,6.60512,11.938,11.938
1035,-29.2084,-29.1447,30.0083,30.0606
1036,3.69145,3.69145,37.5862,37.5862
1037,21.1735,21.6184,85.3527,85.5114
1038,45.2358,45.4855,3.33829,3.51811
1039,0.712298,0.712298,18.6091,18.6091
1040,45.1703,45.1703,-124.075,-124.075
1041,60.2789,60.2789,32.7609,32.7609
1042,14.8223,14.8223,104.168,104.168
1043,7.55452,7.55452,-73.4589,-73.4589
1044,8.99006,9.42058,-70.6819,-70.3973
1045,42.6196,42.6196,14.1524,14.1524
1046,-25.0669,-24.8513,-49.3407,-49.2145
1047,-14.1452,-14.1452,13.2462,13.2462
1048,37.7227,37.8801,-83.8407,-83.55
1049,-31.2681,-31.2681,143.698,143.698
1050,-15.9616,-15.7826,47.2957,47.3075
1051,13.7185,13.7185,106.939,106.939
1052,-16.5282,-16.5282,28.8479,28.8479
1053,-23.5253,-23.5253,119.171,119.171
1054,-27.1696,-27.1696,-64.9075,-64.9075
1055,48.701,49.2438,17.9439,18.1596
1056,-32.7002,-32.7002,25.6467,25.6467
1057,37.0091,37.0091,-92.2469,-92.2469
1058,-9.27811,-9.01219,125.334,125.657
1059,0.948344,0.948344,-75.7319,-75.7319
1060,41.1558,41.1558,34.8693,34.8693
1061,32.3632,32.3632,105.491,105.491
1062,6.87616,6.87616,-74.6479,-74.6479
1063,26.3867,26.3867,119.531,119.531
1064,27.4163,27.4163,109.248,109.248
1065,-9.17889,-9.17889,-36.2564,-36.2564
1066,47.1138,47.1138,134.396,134.396
1067,3.94741,3.95416,9.67812,9.88421
1068,15.1121,15.1121,103.811,103.811
1069,16.746,17.3444,79.1214,79.2266
1070,26.9607,26.9607,80.4678,80.4678
1071,19.9343,19.9343,80.0385,80.0385
1072,11.5439,11.5439,106.195,106.195
1073,28.9955,28.9955,89.3845,89.3845
1074,41.7853,41.7853,129.542,129.542
1075,34.9498,34.9498,137.306,137.306
1076,17.2579,17.2579,-100.301,-100.301
1077,24.0841,24.0841,88.5453,88.5453
1078,18.2855,18.2855,-88.3995,-88.3995
1079,18.0568,18.0568,-93.006,-93.006
1080,-29.9018,-29.9018,-50.9415,-50.9415
1081,45.5709,45.8293,8.64237,8.74789
1082,33.7958,34.1148,-113.627,-113.587
1083,34.2249,34.2249,-0.678384,-0.678384
1084,19.607,19.7397,-155.457,-155.099
1085,30.6009,30.6009,-99.3783,-99.3783
1086,49.6165,49.8493,-97.1989,-96.9531
1087,10.7955,10.7955,-69.3826,-69.3826
1088,-31.1931,-30.8531,150.571,150.909
1089,1.20606,1.58123,99.7884,99.8029
1090,-0.057876,-0.057876,42.2678,42.2678
1091,-3.14683,-3.14683,33.0966,33.0966
1092,-8.73699,-8.73699,116.887,116.887
1093,11.3819,11.3819,122.682,122.682
1094,-20.71,-20.71,-44.4235,-44.4235
1095,-18.2429,-18.2429,141.45,141.45
1096,44.8847,44.9481,15.1101,15.2152
1097,15.811,15.811,74.5207,74.5207
1098,-16.2016,-16.2016,33.5624,33.5624
1099,-14.9061,-14.9061,-67.148,-67.148
1100,-5.23556,-5.23556,30.3551,30.3551
1101,40.8045,40.8045,-7.66736,-7.66736
1102,-29.0025,-29.0025,151.002,151.002
1103,2.25216,2.3929,111.881,112.07
1104,-19.7861,-19.7861,-63.9475,-63.9475
1105,-16.6038,-16.6038,130.974,130.974
1106,42.0216,42.0216,-4.18651,-4.18651
1107,3.11572,3.46568,101.591,101.717
1108,37.5543,37.5543,38.9544,38.9544
1109,-29.7152,-29.7152,152.865,152.865
1110,-0.786333,-0.5987,-80.1188,-79.4951
1111,24.5293,24.5293,46.7364,46.7364
1112,47.6793,47.6793,4.2198,4.2198
1113,41.1654,41.1654,-8.54227,-8.54227
1114,-16.0622,-16.0622,-69.7653,-69.7653
1115,-14.9381,-14.9381,12.4762,12.4762
1116,50.0468,50.0468,2.36843,2.36843
1117,-9.46143,-8.71752,13.3141,14.2007
1118,42.657,42.657,-90.4728,-90.4728
1119,-15.449,-15.449,-56.4701,-56.4701
1120,50.7963,50.7963,19.17,19.17
1121,52.0567,52.0567,29.032,29.032
1122,-30.3332,-30.3332,-56.7353,-56.7353
1123,53.8396,53.8396,56.1937,56.1937
1124,17.965,17.965,99.0754,99.0754
1125,36.1967,36.1967,36.2137,36.2137
1126,6.90285,6.90285,-72.9002,-72.9002
1127,58.4897,58.4897,106.619,106.619
1128,-4.36763,-4.13276,15.1162,15.4341
1129,64.9787,64.9787,-157.137,-157.137
1130,29.7675,29.7675,-93.6825,-93.6825
1131,-4.62266,-4.62266,-79.0662,-79.0662
1132,44.6998,44.6998,18.4902,18.4902
1133,26.4927,26.8483,110.217,110.283
1134,-8.39564,-8.39564,126.949,126.949
1135,4.4351,4.4351,8.98727,8.98727
1136,55.2385,55.2385,101.959,101.959
1137,37.3243,37.8401,-82.2846,-81.2838
1138,20.7752,21.2719,84.1258,84.7987
1139,54.2845,54.2845,18.5736,18.5736
1140,5.36056,6.11834,-4.23322,-4.01053
1141,30.7738,30.7738,79.8583,79.8583
1142,34.6098,35.3523,72.6179,73.5222
1143,34.3591,34.3591,104.681,104.681
1144,0.81588,0.959578,97.7451,97.7536
